1661789570.0043206 [INFO] [launch]: All log files can be found below /home/ren/.ros/log/2022-08-29-16-12-50-002023-ren-G3-3590-1971
1661789570.0045207 [INFO] [launch]: Default logging verbosity is set to INFO
1661789570.3278513 [INFO] [gzserver-1]: process started with pid [1973]
1661789631.1605968 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.1906338 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.2215214 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.2515533 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.2819703 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.3125978 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.3427160 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.3750291 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.4080644 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.4415541 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.4749277 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.5081882 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.5413961 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.5754526 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.6101069 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.6444719 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.6788101 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.7131577 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.7472162 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.7816298 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.8153803 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.8491611 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.8837860 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.9181232 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.9520152 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789631.9864528 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789632.0198753 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789632.0535979 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789632.0871103 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789632.1205790 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789632.1548603 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789632.1888742 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789632.2229452 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789632.2358708 [ERROR] [gzserver-1]: process[gzserver-1] failed to terminate '5' seconds after receiving 'SIGINT', escalating to 'SIGTERM'
1661789632.2416015 [INFO] [gzserver-1]: sending signal 'SIGTERM' to process[gzserver-1]
1661789632.2573485 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789632.2765286 [ERROR] [gzserver-1]: process has died [pid 1973, exit code -15, cmd 'gzserver -s libgazebo_ros_init.so /home/ren/colcon_ws/install/nav2_bringup/share/nav2_bringup/worlds/waffle.model'].
