1661789337.5515206 [INFO] [launch]: All log files can be found below /home/ren/.ros/log/2022-08-29-16-08-57-549195-ren-G3-3590-540
1661789337.5517187 [INFO] [launch]: Default logging verbosity is set to INFO
1661789337.8797293 [INFO] [gzserver-1]: process started with pid [542]
1661789337.8801143 [INFO] [gzclient-2]: process started with pid [544]
1661789337.8802857 [INFO] [robot_state_publisher-3]: process started with pid [546]
1661789337.8804677 [INFO] [rviz2-4]: process started with pid [548]
1661789337.8806319 [INFO] [map_server-5]: process started with pid [550]
1661789362.1256649 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789362.1558518 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789362.1871448 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789362.2186904 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789362.2495892 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789362.2787178 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789362.3099313 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789362.3403106 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789362.3714056 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789362.4016361 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789362.4313598 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789362.4619832 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789362.4940779 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789362.5289967 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789362.5624523 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789362.5966213 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789362.6132212 [ERROR] [gzserver-1]: process[gzserver-1] failed to terminate '5' seconds after receiving 'SIGINT', escalating to 'SIGTERM'
1661789362.6183181 [INFO] [gzserver-1]: sending signal 'SIGTERM' to process[gzserver-1]
1661789362.6316895 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789362.6556177 [ERROR] [gzserver-1]: process has died [pid 542, exit code -15, cmd 'gzserver -s libgazebo_ros_init.so /home/ren/colcon_ws/install/nav2_bringup/share/nav2_bringup/worlds/waffle.model'].
