1661789379.2274191 [INFO] [launch]: All log files can be found below /home/ren/.ros/log/2022-08-29-16-09-39-225112-ren-G3-3590-1009
1661789379.2276318 [INFO] [launch]: Default logging verbosity is set to INFO
1661789379.5672281 [INFO] [gzserver-1]: process started with pid [1011]
1661789565.8987937 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.9296248 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.9598293 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789565.9899361 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789566.0204167 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789566.0510671 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789566.0816116 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789566.1122735 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789566.1425517 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789566.1732798 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789566.2043631 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789566.2355616 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789566.2663670 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789566.3754697 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789566.3758392 [ERROR] [gzclient-2]: process[gzclient-2] failed to terminate '5' seconds after receiving 'SIGINT', escalating to 'SIGTERM'
1661789566.3768332 [INFO] [gzclient-2]: sending signal 'SIGTERM' to process[gzclient-2]
1661789566.3935194 [ERROR] [gzclient-2]: process has died [pid 1013, exit code -15, cmd 'gzclient'].
