1661789313.0912495 [INFO] [launch]: All log files can be found below /home/ren/.ros/log/2022-08-29-16-08-33-088879-ren-G3-3590-185
1661789313.0914586 [INFO] [launch]: Default logging verbosity is set to INFO
1661789313.4219894 [INFO] [gzserver-1]: process started with pid [187]
1661789332.2684002 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789332.2992437 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789332.3338130 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789332.3673854 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789332.4022093 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789332.4361615 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789332.4711289 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789332.5014553 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789332.5346262 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789332.5654500 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789332.5929303 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789332.6231067 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789332.6531839 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789332.6826265 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789332.7135017 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789332.7435412 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789332.7773852 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789332.8111365 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789332.8452411 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789332.8791032 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789332.9134810 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789332.9473097 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789332.9815984 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
